"contrast","hour","estimate","SE","df","t.ratio","p.value"
"PR F order1 - PR F order2","9",-0.0333333333331481,0.17273884597897,247.070802102275,-0.192969526595113,1
"PR F order1 - NR M order2","9",-0.128571428571289,0.172738845978971,247.070802102271,-0.744311031155905,1
"PR F order1 - PR M order2","9",-0.0809523809522409,0.17273884597897,247.070802102271,-0.46864027887564,1
"NR M order1 - PR M order1","9",-0.0952380952380948,0.143649024731934,893.000000000027,-0.662991589506581,1
"NR M order1 - NR F order2","9",0.0476190476190491,0.164700027350405,247.070802102302,0.289125924173272,1
"NR M order1 - PR F order2","9",0.0476190476190489,0.164700027350405,247.070802102297,0.289125924173271,1
"NR M order1 - NR M order2","9",-0.0476190476190915,0.164700027350405,247.070802102302,-0.28912592417353,1
"NR M order1 - PR M order2","9",-4.38260538970781e-14,0.164700027350405,247.070802102297,-2.66096215053059e-13,1
"PR M order1 - NR F order2","9",0.142857142857144,0.164700027350405,247.070802102297,0.867377772519797,1
"PR M order1 - PR F order2","9",0.142857142857144,0.164700027350405,247.070802102297,0.867377772519795,1
"PR M order1 - NR M order2","9",0.0476190476190033,0.164700027350405,247.070802102297,0.289125924172995,1
"PR M order1 - PR M order2","9",0.095238095238051,0.164700027350405,247.070802102293,0.578251848346258,1
"NR F order2 - PR F order2","9",-1.11022302462516e-16,0.143649024731934,892.999999999968,-7.72871954193191e-16,1
"NR F order2 - NR M order2","9",-0.0952380952381406,0.164700027350405,247.070802102302,-0.578251848346802,1
"NR F order2 - PR M order2","9",-0.0476190476190929,0.164700027350405,247.070802102297,-0.289125924173538,1
"PR F order2 - NR M order2","9",-0.0952380952381404,0.164700027350405,247.070802102293,-0.578251848346801,1
"PR F order2 - PR M order2","9",-0.0476190476190928,0.164700027350405,247.070802102297,-0.289125924173537,1
"NR M order2 - PR M order2","9",0.0476190476190477,0.143649024731934,893.000000000027,0.331495794753292,1
"NR F order1 - PR F order1","10",0.0857142857142847,0.157359622418595,892.999999999968,0.544703173513435,1
"NR F order1 - NR M order1","10",-0.0904761904760077,0.17273884597897,247.07080210228,-0.523774429331445,1
"NR F order1 - PR M order1","10",0.00476190476208871,0.172738845978971,247.07080210228,0.0275670752290914,1
